id,ja,zh-CN
details_030102,その他（自由記述）,其他(自由描述)
details_030201,加速時にトラクション制御が作動しない（ホイールスピンが継続する）,加速时无法启动牵引控制(保持车轮旋转)
details_030202,その他（自由記述）,其他(自由描述)
details_030301,カーブ時に車両安定制御が作動しない（横滑りが継続する）,转弯时车辆稳定控制不启动（持续侧滑）
details_030302,その他（自由記述）,其他(自由描述)
details_030401,ステアリング操作が重い／動かない,转向操纵沉重/不动
details_030402,ステアリング操作が軽い,转向操作轻
details_030403,ステアリングが振動する,转向装置振动
details_030404,中立点がズレている,中立点错了
details_030405,左右で切れ角が違う,左右切角不同
details_030406,異音がする,有异音
details_030407,その他（自由記述）,其他(自由描述)
details_030501,車高調整ができない,不能调整车高
details_030502,減衰力の調整ができない,不能调整衰减力
details_030503,異音がする,有异音
details_030504,その他（自由記述）,其他(自由描述)
details_030601,ABSウォーニングランプ点灯,ABS步行灯亮
details_030602,トラクション制御ウォーニングランプ点灯,牵引力控制系统灯点亮
details_030603,車両安定（横滑り防止）制御ウォーニングランプ点灯,车辆稳定（防止横滑）控制系统灯点亮
details_030604,電動パワステ(EPS)ウォーニングランプ点灯,电动变压器(EPS)摆动灯点亮
details_030605,複数点灯,灯点亮
details_030606,その他（自由記述）,其他(自由描述)
details_030701,ブレーキ引きずり,刹车失灵
details_030702,ブレーキ片効き,刹车不灵
details_030703,異音がする,有异音
details_030704,その他（自由記述）,其它(自由描述)
details_040101,クランキングしない,不晃动
details_040102,初爆がない,没有点火
details_040103,初爆はあるが完爆がない,有点火，但没有燃烧
details_040104,始動できるが始動時間が長い,启动时间长
details_040105,その他（自由記述）,其它(自由描述)
details_040201,アイドル回転数が高い,怠速转速高
details_040202,アイドル回転数が低い,空闲旋转数低
details_040203,アイドル回転数が不安定,怠速转速不稳定
details_040204,その他（自由記述）,其它(自由描述)
details_040301,エンスト,发动机熄火
details_040401,息つき・もたつき,行驶缓慢
details_040402,出力不足,动力不足
details_040403,その他（自由記述）,其它(自由描述)
details_040501,オーバーヒート,过热
details_040601,ノッキング音,爆震声
details_040602,破裂音,破裂音
details_040603,その他（自由記述）,其它(自由描述)
details_040701,白煙が多い,白烟多
details_040801,黒煙が多い,黑烟多
details_040901,チェックエンジンランプ点灯のみ,检查引擎灯
details_041001,走行中にギクシャクする,行驶中晃动
details_041002,発進時に息つき・もたつき,行进时熄火
details_041003,その他（自由記述）,其它(自由描述)
details_050101,発進できない,不能前进
details_050201,後退できない,不能后退
details_050301,変速しない,不能变速
details_050401,変速ショックが大きい,变速冲击大
details_050501,変速タイミングが不良,变速时机不良
details_050601,加速が悪くエンジン回転数が上昇する（滑る）,加速不好，引擎转速上升
details_050701,異音がする,有异响
details_050801,その他（自由記述）,其它(自由描述)
details_060101,IG/電源がオンにならない,IG/电源无法接通
details_060102,Ready/走行可能表示灯が点灯しない,可行驶指示灯不亮
details_060103,その他(自由記述),其它(自由描述)
details_060201,Ready/走行可能表示灯が点灯するが走行不能,可行驶指示灯灯亮了但不能行驶
details_060202,その他(自由記述),其它(自由描述)
details_060301,EV走行不能,不能行驶
details_060401,息つき・もたつき,行驶缓慢
details_060402,出力不足,动力不足
details_060403,その他(自由記述),其它(自由描述)
details_060501,アイドルストップしない,引擎不能停止
details_060502,走行中にエンジンが停止しない,行驶中引擎不熄火
details_060503,その他(自由記述),其它(自由描述)
details_060601,異音がする,有异响
details_060701,ハイブリッドシステム警告灯が点灯・点滅,混合系统警告灯亮灭
details_060702,マスターウォーニングが点灯,主步行点灯
details_060703,HVバッテリー警告灯が点灯,HV电池警告灯亮起
details_060704,補機バッテリー警告灯が点灯,补机电池警告灯亮起
details_060705,出力制限表示灯(カメマーク)が点灯,动力限制显示灯点亮
details_060706,その他(自由記述),其它(自由描述)
details_060801,充電が開始されない,没有开始充电
details_060802,充電が途中で止まる,中途停止充电
details_060803,充電が終わらない,充电不停止
details_060804,その他(自由記述),其它(自由描述)
details_060901,エンジンが始動しない,发动机不启动
details_060902,燃費が悪い,耗油量小
details_060903,その他(自由記述),其它(自由描述)
details_070101,バッテリー上がり,电池用完
details_070201,チャージウォーニングランプ点灯,充电步灯亮起
details_070301,その他（自由記述）,其它（自由描述）
details_080101,施錠（ロック）できない,不能锁
details_080102,解錠（アンロック）できない,不能开锁
details_080103,施錠（ロック）も解錠（アンロック）もできない,不能锁，也不能开锁
details_080104,アンサーバックがない,车门无响应
details_080105,その他（自由記述）,其他(自由描述)
details_080201,閉じない,关不上
details_080202,開かない,打不开
details_080203,その他（自由記述）,其他(自由描述)
details_080301,閉じない,关不上
details_080302,開かない,打不开
details_080303,その他（自由記述）,其他(自由描述)
details_080401,動かない,不动
details_080402,速度調整できない,无法调整速度
details_080403,その他（自由記述）,其他(自由描述)
details_080501,スピードメータの作動不良,车速表故障
details_080502,タコメータの作動不良,转速表故障
details_080503,燃料計の作動不良,燃油表故障
details_080504,水温計の作動不良,水温表故障
details_080505,インジケータ作動不良,指示灯故障
details_080506,ブザーの作動不良,报警灯故障
details_080507,メータ内ディスプレイ表示が不良,仪表盘显示器故障
details_080508,照明が暗い／明るい,亮度太暗·太亮
details_080509,レオスタットの調整が出来ない,不能调整音响
details_080510,その他（自由記述）,其他(自由描述)
details_080601,セキュリティーインジケータ点滅,安全指示符闪烁
details_080602,オートアラームをセット、解除できない,设置自动警告无法解除
details_080603,警報が作動しない,警报失灵
details_080604,オートアラームが勝手に作動する,自动警报器随意启动
details_080605,その他（自由記述）,其它（自由描述）
details_080701,ヘッドランプ作動不良,头灯工作不良
details_080702,ターンシグナルランプ作動不良,转向信号灯不良
details_080703,テールランプ作動不良,尾灯工作不良
details_080704,ストップランプ作動不良,停止灯工作不良
details_080705,その他（自由記述）,其它（自由描述）
details_080801,ルームランプ作動不良,房间灯工作不良
details_080802,カーテシランプ作動不良,门控灯工作不良
details_080803,その他（自由記述）,其它（自由描述）
details_080901,SRSエアバッグウォーニングランプの点灯,SRS气囊步行灯的点灯
details_080902,その他（自由記述）,其它（自由描述）
details_081001,障害物に近づいても警告されない,临近障碍物也不受警告
details_081002,障害物がないのに警告される,无障碍物受到警告
details_081003,その他（自由記述）,其他(自由描述)
details_081101,その他（自由記述）,其他(自由描述)
details_090101,地図表示しない,不显示地图
details_090102,ナビ現在位置ずれ,定位不精确
details_090103,その他（自由記述）,其他(自由描述)
details_090201,音がでない,没有声音
details_090202,音質が悪い,音质差
details_090203,音量を変えることが出来ない,音量无法调节
details_090204,その他（自由記述）,其他(自由描述)
details_090301,画面が表示されない,屏幕不显示
details_090302,画質が悪い,图像质量差
details_090303,その他（自由記述）,其他(自由描述)
details_090401,画面が表示されない,屏幕不显示
details_090402,画質が悪い,图像质量差
details_090403,その他（自由記述）,其他(自由描述)
details_090501,ETCの作動不良,ETC故障
details_090502,ハンズフリー電話の作動不良,免提电话故障
details_090503,その他（自由記述）,其他(自由描述)
details_100101,その他（自由記述）,其他(自由描述)

# ------------------------------  message set  ---------------------------------------,
data_zero_message,お問い合わせの結果が見つかりませんでした。,没有找到您要查询的结果！
null_error,空の値は入力できません。,不能为空！
input_available,「その他」選んと入力できる,选择其他后方可输入

# ------------------------------  html initialize  -----------------------------------,
search_initialize,条件再設定,条件重置

# ------------------------------  preview  -----------------------------------,
#,,
preview,プレビュー,预览
year,年,年
ex_page,前ページ,上一页,
next_page,次ページ,下一页,
return_page,戻る,返回上一页

